condition,sequence,filename,image_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,mean_confidence_proxy,runtime_seconds,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
low_light,park-8,park-8_01536.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_01536.png,0.9598229386892178,0.8336325879832386,0.797601909638653,0.985973016795668,0.0005812708416189922,0.013445712362713006,0.3352183852725304,0.918685257434845,0.09980670001823455,378400,0.36662768031189086,0.9794761068666066,0.9816235259478859,0.5657562266875226,0.9491685204665252,0.985973016795668,0.44492808478425433,0.964084180165873,0.9837934639658317
gaussian_blur,park-8,park-8_01536.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_01536.png,0.9429519027484143,0.7434043490309069,0.7190228282096962,0.9915868693976199,0.000550677639428519,0.007862452962951632,0.5812778245698472,0.9230955839157104,0.09928530000615865,378400,0.17674356934500132,0.9854595725509316,0.9661524703778225,0.32077968956804237,0.9178464881270586,0.9915868693976199,0.22791194699722161,0.9504520860243215,0.9787044516075458
fog,park-8,park-8_01536.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_01536.png,0.9676797040169133,0.8602820887171575,0.8352035014066099,0.9863044431527315,0.0004639968998888447,0.013231559947379692,0.2354710624473589,0.9361888766288757,0.10688510001637042,378400,0.48624872673395686,0.978397135196079,0.9848080643518989,0.6318132595355553,0.9627285634631856,0.9863044431527315,0.5495552066980638,0.9704996117607518,0.985555685761014
synthetic_snow,park-8,park-8_01536.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_01536.png,0.9612394291754757,0.8620620875642454,0.8221658384105882,0.9792221168456369,0.0028247723355870327,0.01795311081877607,0.24822524365299,0.9219475388526917,0.09711309999693185,378400,0.43296,0.9744653667856369,0.9834996850498543,0.65118517627241,0.9557789695746894,0.9792221168456369,0.5201095574455816,0.9650317181179229,0.9813562396682602
normal,trail-10,trail-10_00096.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-10\trail-10_00096.png,0.9753118393234672,0.6521686108951198,0.6514025233009965,0.9997841040317317,0.0,0.0002158959682683135,0.0,0.9292792081832886,0.11418829998001456,378400,0.0,0.9903546909421514,0.9628313363698783,0.0,0.9567217286536275,0.9997841040317317,0.0,0.9732477291210867,0.9809598407819028
low_light,trail-10,trail-10_00096.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-10\trail-10_00096.png,0.974833509513742,0.6518266967877958,0.6510790980490242,0.9998393332329166,0.0,0.0001606667670833961,0.0,0.9303337931632996,0.10476339992601424,378400,0.0,0.9904074499804532,0.9619403237415285,0.0,0.955640757130471,0.9998393332329166,0.0,0.9727135452333948,0.9805237489136778
gaussian_blur,trail-10,trail-10_00096.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-10\trail-10_00096.png,0.9797330866807611,0.6553544056125323,0.654391232956899,0.9986443741527339,0.0,0.0013556258472661546,0.0,0.9182018041610718,0.09961450006812811,378400,0.0,0.9891660382354803,0.9717275645253485,0.0,0.967418842684863,0.9986443741527339,0.0,0.9781715817846988,0.9850021170859983
fog,trail-10,trail-10_00096.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-10\trail-10_00096.png,0.975977801268499,0.6526543296309474,0.6518536353787897,0.9994677913340363,0.0,0.0005322086659637496,0.0,0.9292842149734497,0.10297610005363822,378400,0.0,0.9900095368798121,0.9642891743688117,0.0,0.958495197558806,0.9994677913340363,0.0,0.9739975170346299,0.9815633891017391
synthetic_snow,trail-10,trail-10_00096.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-10\trail-10_00096.png,0.9788609936575053,0.6547182438259767,0.6538015013257364,0.9990611035798564,0.0,0.000938896420143596,0.0,0.9517517685890198,0.09659960004501045,378400,0.0,0.9896141833653741,0.969783071696973,0.0,0.9650936278980734,0.9990611035798564,0.0,0.9772001083130246,0.9842043956641846
normal,trail-11,trail-11_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_00381.png,0.9442838266384778,0.948775151574878,0.8944819705800043,0.9987015094952119,0.0005596941830983551,0.0007387963216898286,0.0015364028349110373,0.9011160731315613,0.09262780006974936,378400,0.645530353569046,0.9942350360232344,0.9492945607763024,0.9591614214204291,0.8884625238089934,0.9987015094952119,0.7716968718224774,0.9383775580430933,0.9733714818744426
low_light,trail-11,trail-11_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_00381.png,0.9436654334038055,0.9483993979062887,0.893391340729786,0.9987015094952119,0.00048133699746458533,0.0008171535073235984,0.0015364028349110373,0.9185311794281006,0.1016370999859646,378400,0.6421936168801009,0.9941644198122628,0.9489613580522671,0.9593596669475145,0.8871370172761398,0.9987015094952119,0.7693714104016376,0.9376063194203275,0.9731962923673927
gaussian_blur,trail-11,trail-11_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_00381.png,0.8643736786469345,0.9034020249122131,0.7657292647254756,0.9980186825918318,0.001768633618590802,0.00021268378957737491,0.0011894731625117709,0.8548987507820129,0.09404380002524704,378400,0.3240256807329978,0.9991924274543605,0.9503696163132171,0.9955394756405809,0.7166479165042271,0.9980186825918318,0.48891917876571456,0.8346571099615677,0.9736115054491449
fog,trail-11,trail-11_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_00381.png,0.9292494714587738,0.9436103184835306,0.8639606888102347,0.9988022544481695,0.0007164085543658945,0.00048133699746458533,0.0021311394161669227,0.9334079623222351,0.09972850000485778,378400,0.5437126078685451,0.9967587089398575,0.9483308356981156,0.9774000099122764,0.8546286910901456,0.9988022544481695,0.6987315759637188,0.9202380773901441,0.9729124130768413
synthetic_snow,trail-11,trail-11_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_00381.png,0.9327219873150105,0.9487325200081896,0.8819627606319154,0.9983824838108457,0.00036380121901393077,0.0012537149701403153,0.001139911780740447,0.9389333128929138,0.10553810000419617,378400,0.6129211061156618,0.9969445375551144,0.9349350608509701,0.9864697427764286,0.8613453334372946,0.9983824838108457,0.7560730090596569,0.9241976061143878,0.9656176667217015
normal,trail-11,trail-11_01786.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_01786.png,0.9677431289640592,0.9659675965017219,0.9655747659765538,0.9930581477622833,6.128440980327704e-05,0.006880567827913377,3.067578760084665e-05,0.8638487458229065,0.10112579993437976,378400,0.9538540086795909,0.9771399403172609,0.9662703898258225,0.9742630142028896,0.930581627539993,0.9930581477622833,0.9639504973784249,0.9532926516274598,0.9794811489237769
low_light,trail-11,trail-11_01786.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_01786.png,0.9654889006342495,0.9593829913914481,0.9621385526812197,0.9945679727674368,5.571309982116095e-05,0.005376314132742032,3.067578760084665e-05,0.8566749691963196,0.10468079999554902,378400,0.9638051333167207,0.9669008961599778,0.9650869851979197,0.9491702199453971,0.9344107814615102,0.9945679727674368,0.9564316955937129,0.9503782389922755,0.9796057234576708
gaussian_blur,trail-11,trail-11_01786.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_01786.png,0.9684302325581395,0.9695250036984279,0.9628849840015482,0.9980500415062594,0.00020056715935617942,0.0017493913343844538,0.0,0.9280134439468384,0.09510919998865575,378400,0.9068382044469305,0.9946072817938909,0.9748586479176756,0.9946317371698519,0.9158932324191726,0.9980500415062594,0.9487081955701203,0.9536287182681824,0.9863180381663418
